Date,MSFT,ABEV,AMD,AAPL,UBER,FB,TWTR,NFLX,SNAP,NVDA
2022-03-15,287.15,2.62,109.33,155.09,29.8,192.03,33.97,343.75,29.58,229.73
2022-03-16,294.39,2.7,115.37,159.59,32.61,203.63,35.37,357.53,32.56,244.96
2022-03-17,295.22,2.77,111.69,160.62,32.85,207.84,37.3,371.4,33.97,247.66
2022-03-18,300.43,2.84,113.46,163.98,33.36,216.49,37.77,380.6,36.0,264.53
2022-03-21,299.16,2.86,115.92,165.38,31.98,211.49,37.44,374.59,35.17,267.34
2022-03-22,304.06,2.9,114.78,168.82,33.35,216.65,38.43,382.92,36.24,265.24
2022-03-23,299.49,2.92,113.92,170.21,33.06,213.46,38.0,374.49,35.88,256.34
2022-03-24,304.1,2.92,120.53,174.07,34.7,219.57,38.82,375.71,37.05,281.5
2022-03-25,303.68,3.0,119.67,174.72,34.06,221.82,38.6,373.85,35.4,276.92
2022-03-28,310.7,3.06,120.24,175.6,34.77,223.59,39.12,378.51,36.23,282.19
2022-03-29,315.41,3.18,123.23,178.96,37.19,229.86,40.69,391.82,37.87,286.56
2022-03-30,313.86,3.14,119.22,177.77,36.58,227.85,39.0,381.47,36.84,276.9
2022-03-31,308.31,3.23,109.34,174.61,35.68,222.36,38.69,374.59,35.99,272.86
2022-04-01,309.42,3.29,108.19,174.31,35.98,224.85,39.31,373.47,37.39,267.12
2022-04-04,314.97,3.28,110.53,178.44,36.51,233.89,49.97,391.5,39.34,273.6
2022-04-05,310.88,3.2,106.82,175.06,34.96,231.84,50.98,380.15,38.25,259.31
2022-04-06,299.5,3.14,103.67,171.83,33.41,223.3,50.77,368.35,36.47,244.07
2022-04-07,301.37,3.14,103.72,172.14,32.27,222.95,48.03,362.15,36.25,242.08
2022-04-08,296.97,3.12,101.0,170.09,32.05,222.33,46.23,355.88,35.67,231.19
2022-04-11,285.26,3.24,97.37,165.75,32.04,216.46,47.01,348.0,34.4,219.17
2022-04-12,282.06,3.21,95.1,167.66,31.99,214.14,44.48,344.1,33.57,215.04
2022-04-13,287.62,3.14,97.74,170.4,32.63,214.99,45.85,350.43,34.68,222.03
2022-04-14,279.83,3.1,93.06,165.29,32.68,210.18,45.08,341.13,33.19,212.58
2022-04-18,280.52,3.11,93.89,165.07,31.79,210.77,48.45,337.86,32.64,217.83
2022-04-19,285.3,3.13,96.93,167.4,33.8,217.31,46.16,348.61,33.63,221.98
2022-04-20,286.36,3.18,94.02,167.23,33.21,200.42,46.72,226.19,30.76,214.82
2022-04-21,280.81,3.11,89.85,166.42,31.68,188.07,47.08,218.22,29.42,201.83
2022-04-22,274.03,3.02,88.14,161.79,30.83,184.11,48.93,215.52,29.76,195.15
2022-04-25,280.72,3.06,90.69,162.88,32.44,186.99,51.7,209.91,29.91,199.02
2022-04-26,270.22,2.92,85.16,156.8,31.33,180.95,49.68,198.4,28.69,187.88
2022-04-27,283.22,2.92,84.91,156.57,30.68,174.95,48.64,188.54,27.09,184.15
